roi_list1,roi_list2,index_list2,region,side,networks,x,y,z,volume,braak,rbd_relevant,motor,arousal
7Networks_LH_SomMot_34,7Networks_LH_SomMot_34,248,cortex,L,SomMot,-16.838266,-12.716328,68.556279,1836,,,,
7Networks_LH_SomMot_35,7Networks_LH_SomMot_35,249,cortex,L,SomMot,-17.794204,-32.142135,64.980673,2186,,,,
7Networks_LH_SomMot_36,7Networks_LH_SomMot_36,250,cortex,L,SomMot,-19.047393,-38.433253,67.906031,2064,,,,
7Networks_LH_SomMot_37,7Networks_LH_SomMot_37,251,cortex,L,SomMot,-12.669635,-26.347616,69.619818,900,,,,
7Networks_LH_DorsAttn_Post_1,7Networks_LH_DorsAttn_Post_1,252,cortex,L,DorsAttn,-44.39567,-40.428498,-20.315832,2928,,,,
7Networks_LH_DorsAttn_Post_2,7Networks_LH_DorsAttn_Post_2,253,cortex,L,DorsAttn,-45.845726,-55.4657,-13.283169,4725,,,,
7Networks_LH_DorsAttn_Post_3,7Networks_LH_DorsAttn_Post_3,254,cortex,L,DorsAttn,-50.939953,-62.091034,-0.617639,4434,,,,
7Networks_LH_DorsAttn_Post_4,7Networks_LH_DorsAttn_Post_4,255,cortex,L,DorsAttn,-45.692934,-66.335385,13.536033,2816,,,,
7Networks_LH_DorsAttn_Post_5,7Networks_LH_DorsAttn_Post_5,256,cortex,L,DorsAttn,-25.707431,-70.717751,32.183094,1339,,,,
7Networks_LH_DorsAttn_Post_6,7Networks_LH_DorsAttn_Post_6,257,cortex,L,DorsAttn,-52.869609,-31.275044,40.416989,2465,,,,
7Networks_LH_DorsAttn_Post_7,7Networks_LH_DorsAttn_Post_7,258,cortex,L,DorsAttn,-24.910038,-64.193045,47.279025,2058,,,,
7Networks_LH_DorsAttn_Post_8,7Networks_LH_DorsAttn_Post_8,259,cortex,L,DorsAttn,-44.609262,-30.842897,41.5809,1627,,,,
7Networks_LH_DorsAttn_Post_9,7Networks_LH_DorsAttn_Post_9,260,cortex,L,DorsAttn,-35.143232,-46.028421,42.892598,2012,,,,
7Networks_LH_DorsAttn_Post_10,7Networks_LH_DorsAttn_Post_10,261,cortex,L,DorsAttn,-29.200624,-55.8858,48.085604,1261,,,,
7Networks_LH_DorsAttn_Post_11,7Networks_LH_DorsAttn_Post_11,262,cortex,L,DorsAttn,-38.294456,-38.720461,47.163916,2319,,,,
7Networks_LH_DorsAttn_Post_12,7Networks_LH_DorsAttn_Post_12,263,cortex,L,DorsAttn,-32.07462,-49.829807,51.993371,1637,,,,
7Networks_LH_DorsAttn_Post_13,7Networks_LH_DorsAttn_Post_13,264,cortex,L,DorsAttn,-16.429429,-65.101077,56.41483,3135,,,,
7Networks_LH_DorsAttn_Post_14,7Networks_LH_DorsAttn_Post_14,265,cortex,L,DorsAttn,-25.643427,-57.299311,57.546303,1671,,,,
7Networks_LH_DorsAttn_Post_15,7Networks_LH_DorsAttn_Post_15,266,cortex,L,DorsAttn,-10.83308,-56.066916,61.709822,2224,,,,
7Networks_LH_DorsAttn_Post_16,7Networks_LH_DorsAttn_Post_16,267,cortex,L,DorsAttn,-22.005643,-52.31992,63.582239,2775,,,,
7Networks_LH_DorsAttn_Post_17,7Networks_LH_DorsAttn_Post_17,268,cortex,L,DorsAttn,-14.605745,-48.793112,68.08694,907,,,,
7Networks_LH_DorsAttn_FEF_1,7Networks_LH_DorsAttn_FEF_1,269,cortex,L,DorsAttn,-39.185819,-3.534425,50.662209,2506,,,,
7Networks_LH_DorsAttn_FEF_2,7Networks_LH_DorsAttn_FEF_2,270,cortex,L,DorsAttn,-26.484691,0.69411,54.40916,2945,,,,
7Networks_LH_DorsAttn_FEF_3,7Networks_LH_DorsAttn_FEF_3,271,cortex,L,DorsAttn,-30.305001,-6.656083,51.047224,1466,,,,
7Networks_LH_DorsAttn_FEF_4,7Networks_LH_DorsAttn_FEF_4,272,cortex,L,DorsAttn,-20.402111,3.900017,60.202704,3629,,,,
7Networks_LH_DorsAttn_PrCv_1,7Networks_LH_DorsAttn_PrCv_1,273,cortex,L,DorsAttn,-48.202317,6.519466,25.011428,2462,,,,
7Networks_LH_DorsAttn_PrCv_2,7Networks_LH_DorsAttn_PrCv_2,274,cortex,L,DorsAttn,-46.967575,1.401234,37.129604,2163,,,,
7Networks_LH_SalVentAttn_ParOper_1,7Networks_LH_SalVentAttn_ParOper_1,275,cortex,L,SalVentAttn,-51.825075,-33.365951,22.761503,3259,,,,
7Networks_LH_SalVentAttn_ParOper_2,7Networks_LH_SalVentAttn_ParOper_2,276,cortex,L,SalVentAttn,-55.464299,-42.376425,26.745992,2243,,,,
7Networks_LH_SalVentAttn_ParOper_3,7Networks_LH_SalVentAttn_ParOper_3,277,cortex,L,SalVentAttn,-59.056786,-23.804491,29.994339,3228,,,,
7Networks_LH_SalVentAttn_ParOper_4,7Networks_LH_SalVentAttn_ParOper_4,278,cortex,L,SalVentAttn,-58.797972,-34.868487,32.218195,2395,,,,
7Networks_LH_SalVentAttn_TempOcc_1,7Networks_LH_SalVentAttn_TempOcc_1,279,cortex,L,SalVentAttn,-52.708954,-52.959298,8.174487,2904,,,,
7Networks_LH_SalVentAttn_FrOperIns_1,7Networks_LH_SalVentAttn_FrOperIns_1,280,cortex,L,SalVentAttn,-44.285899,3.381154,-15.523753,2167,,,,
7Networks_LH_SalVentAttn_FrOperIns_2,7Networks_LH_SalVentAttn_FrOperIns_2,281,cortex,L,SalVentAttn,-38.223273,1.731892,-8.53484,3768,,,,
7Networks_LH_SalVentAttn_FrOperIns_3,7Networks_LH_SalVentAttn_FrOperIns_3,282,cortex,L,SalVentAttn,-33.194685,25.206805,-1.428825,1619,,,,
7Networks_LH_SalVentAttn_FrOperIns_4,7Networks_LH_SalVentAttn_FrOperIns_4,283,cortex,L,SalVentAttn,-40.263612,-13.071184,-3.721863,1866,,,,
7Networks_LH_SalVentAttn_FrOperIns_5,7Networks_LH_SalVentAttn_FrOperIns_5,284,cortex,L,SalVentAttn,-33.300087,19.481623,7.625419,1993,,,,
